arched,domed
archenemy,foe
archetypal,exemplary
archetype,prime example
architect,inventor
archly,knowingly
archness,arrogance
archway,pergola
arctic,frosty
ardent,devoted
ardently,enthusiastically
ardor,commitment
arduous,tough
arduously,with difficulty
arduousness,difficulty
area,vicinity
argot,patois
argue,contend
arguing,in conflict
argument,line of reasoning
argumentative,belligerent
arguments,opinion
argument's,opinion
arid,parched
aridity,waterlessness
arise,rise
aristocracy,landed gentry
aristocrat,member of the aristocracy
aristocratic,refined
aristocrats,nobles
aristocrat's,nobles
arithmetic,mathematics
arithmetical,arithmetic
armada,flotilla
armament,minder
armaments,missiles
armament's,weaponry
armature,carcass
armchair,wing chair
armistice,settlement
armlet,bangle
armor,body armor
armored,non-breakable
armory,arsenal
armrest,support
arm's,armaments
army,armed forces
aroma,perfume
aromatic,scented
around,almost
arousal,encouragement
arouse,produce
arousing,exciting
arpeggio,triad
arraign,bring before the court
arraignment,allegation
arrange,orchestrate
arranged,prearranged
arrangement,agreement
arrangements,preparations
arrangement's,measures
arranger,director
arrant,outright
arrears,debts
arrive,turn up
arrived,indoors
arriving,incoming
arrogantly,proudly
arroyo,gap
arsenal,collection
arson,flammable
art,fine art
arterial,principal
artery,pathway
artful,cunning
artfully,cunningly
artfulness,craftiness
arthritic,painful
article,condition
articulate,enunciate
articulated,expressed
articulately,talkatively
articulateness,fluency
articulation,enunciation
artifact,manufactured article
artifice,wiles
artificial,reproduction
artificiality,dishonesty
artillery,weapons
artist,actor
artiste,comedian
artistically,pleasingly
artistry,invention
artless,natural
artlessly,effortlessly
artlessness,inexperience
arty,inventive
A's,when
ascendancy,pre-eminence
ascendant,rising
ascent,incline
ascertain,discover
ascetic,austere
asceticism,plainness
ascribe,lay at the door of
ascribed,attributed
ascription,provenance
asexual,genderless
ashamedly,remorsefully
ashen,pale
ashore,onto dry land
ashy,drained of color
aside,up your sleeve
asinine,silly
ask,request
askance,doubtfully
askew,out of kilter
aslant,angled
asleep,sleeping
aspect,position
asperity,curtness
asphalt,blacktop
asphyxiate,choke
aspirant,hopeful
aspiration,desire
aspire,wish
aspiring,aspirant
assail,beat
assailant,attacker
assassin,murderer
assassinate,kill in cold blood
assassination,killing
assaulted,beaten
assaulter,assailant
assay,take a shot at
assemblage,throng
assembly,gathering
assent,concur
assenting,confirmatory
assertive,self-confident
assertively,forcefully
assertiveness,insolence
assessor,judge's assistant
asset's,possessions
assiduous,hard-working
assiduously,never-endingly
assiduousness,persistence
assignable,movable
assignation,rendezvous
assimilate,take on board
assimilation,adaptation
assistant,supporter
associate,frequent
associated,linked
associates,friends
association,friendship
association's,family
assonance,verse
assortment,collection
assuage,moderate
